"species","tissueType","cellName","markerNames","markerEnsemblIDs","markerHgncIDs"
"human","Liver","T cell","CD3 2B4 PD-1 CD28 CD45 CD8 TCRalpha/beta CD4 CD25 CD45RO CD27 CD58 CD7 CD3D CD3E CD3G CD3H CD3Q CD3Z","ENSG00000276977 ENSG00000188389 ENSG00000178562 ENSG00000262418 ENSG00000081237 ENSG00000153563 ENSG00000010610 ENSG00000134460 ENSG00000139193 ENSG00000116815 ENSG00000173762 ENSG00000167286 ENSG00000160654 ENSG00000198821","HGNC:8760 HGNC:1653 HGNC:9666 HGNC:1706 HGNC:1678 HGNC:6008 HGNC:11922 HGNC:1688 HGNC:1695 HGNC:1673 HGNC:1674 HGNC:1675 HGNC:1677"
"human","Liver","T helper cell","CD3 CD4 ABCB1 CAPG CD69 DPP4 DUSP1 GZMK IFNGR1 PARP8 PVRIG SLC4A10 CD3D CD3E CD3G CD3H CD3Q CD3Z","ENSG00000010610 ENSG00000085563 ENSG00000042493 ENSG00000110848 ENSG00000197635 ENSG00000120129 ENSG00000113088 ENSG00000027697 ENSG00000151883 ENSG00000213413 ENSG00000144290 ENSG00000167286 ENSG00000160654 ENSG00000198821","HGNC:1678 HGNC:40 HGNC:1474 HGNC:1694 HGNC:3009 HGNC:3064 HGNC:4711 HGNC:5439 HGNC:26124 HGNC:32190 HGNC:13811 HGNC:1673 HGNC:1674 HGNC:1675 HGNC:1677"
"human","Lung","Airway secretory cell","AQP3 MUC5AC MUC5B PIGR SCGB1A1","ENSG00000165272 ENSG00000283158 ENSG00000215182 ENSG00000117983 ENSG00000162896 ENSG00000149021","HGNC:636 HGNC:7515 HGNC:7516 HGNC:8968 HGNC:12523"
"human","Lung","Alveolar epithelial progenitor cell","TM4SF1","ENSG00000169908","HGNC:11853"
"human","Lung","Anterior foregut endoderm cell","Carboxypeptidase M","",""
"human","Lung","Basal cell","ACKR3 ADH7 ANXA8 ANXA8L1 AQP3 ARL4D ATP1B3 BMP7 C10orf99 C16orf74 CAPG CAV1 CCND2 CD109 CLCA2 CLCA4 CLDN1 COL17A1 CSTA DAPL1 DSC3 DSG3 DUSP7 FABP5 FABP5P3 FAT2 FBLN1 FGFBP1 FYB GJB3 GLTP GM2A GPC1 GPNMB GPX2 HSPB1 IFI27L2 IGFBP6 IL1RN IL20RB ITGA6 JUP KRT13 KRT14 KRT15 KRT16 KRT17 KRT4 KRT5 KRT6A KRT6B KRT6C LAD1 LGALS7 LGALS7B LOXL4 LY6D LYPD3 MMP28 MT1X NOTCH1 NRARP NXN PGM2 PHLDA3 PKP1 PKP3 PLAT PLP2 POLR2J3 PPP1R13L PTTG1 PVRL1 RAB38 RARG S100A10 S100A14 S100A16 S100A2 S100A8 SDC1 SERPINB1 SERPINB13 SERPINB2 SERPINB5 SFN SH3BGRL3 SOX15 SPINK5 SPRR1A SPRR1B THBD TIMP1 TMEM43 TNS4 TP63 TRIM7 TUBB6 UPK3BL WNT10A ZNF385A ZYX","ENSG00000144476 ENSG00000196344 ENSG00000265190 ENSG00000264230 ENSG00000165272 ENSG00000175906 ENSG00000069849 ENSG00000101144 ENSG00000188373 ENSG00000154102 ENSG00000042493 ENSG00000105974 ENSG00000118971 ENSG00000156535 ENSG00000137975 ENSG00000016602 ENSG00000163347 ENSG00000065618 ENSG00000121552 ENSG00000163331 ENSG00000134762 ENSG00000134757 ENSG00000164086 ENSG00000164687 ENSG00000241735 ENSG00000086570 ENSG00000077942 ENSG00000137440 ENSG00000188910 ENSG00000139433 ENSG00000196743 ENSG00000063660 ENSG00000136235 ENSG00000176153 ENSG00000106211 ENSG00000276879 ENSG00000119632 ENSG00000167779 ENSG00000136689 ENSG00000174564 ENSG00000091409 ENSG00000173801 ENSG00000171401 ENSG00000186847 ENSG00000171346 ENSG00000186832 ENSG00000128422 ENSG00000170477 ENSG00000186081 ENSG00000205420 ENSG00000185479 ENSG00000170465 ENSG00000159166 ENSG00000283082 ENSG00000205076 ENSG00000282902 ENSG00000178934 ENSG00000138131 ENSG00000167656 ENSG00000124466 ENSG00000278843 ENSG00000271447 ENSG00000187193 ENSG00000148400 ENSG00000198435 ENSG00000281300 ENSG00000280563 ENSG00000167693 ENSG00000169299 ENSG00000174307 ENSG00000081277 ENSG00000184363 ENSG00000104368 ENSG00000102007 ENSG00000168255 ENSG00000285437 ENSG00000104881 ENSG00000164611 ENSG00000110400 ENSG00000123892 ENSG00000172819 ENSG00000197747 ENSG00000189334 ENSG00000188643 ENSG00000196754 ENSG00000143546 ENSG00000115884 ENSG00000021355 ENSG00000197641 ENSG00000197632 ENSG00000206075 ENSG00000175793 ENSG00000142669 ENSG00000129194 ENSG00000133710 ENSG00000169474 ENSG00000169469 ENSG00000178726 ENSG00000102265 ENSG00000170876 ENSG00000131746 ENSG00000073282 ENSG00000146054 ENSG00000176014 ENSG00000135925 ENSG00000161642 ENSG00000285443 ENSG00000159840","HGNC:23692 HGNC:256 HGNC:546 HGNC:23334 HGNC:636 HGNC:656 HGNC:806 HGNC:1074 HGNC:31428 HGNC:23362 HGNC:1474 HGNC:1527 HGNC:1583 HGNC:21685 HGNC:2016 HGNC:2018 HGNC:2032 HGNC:2194 HGNC:2481 HGNC:21490 HGNC:3037 HGNC:3050 HGNC:3073 HGNC:3560 HGNC:22573 HGNC:3596 HGNC:3600 HGNC:19695 HGNC:4285 HGNC:24867 HGNC:4367 HGNC:4449 HGNC:4462 HGNC:4554 HGNC:5246 HGNC:19753 HGNC:5475 HGNC:6000 HGNC:6004 HGNC:6142 HGNC:6207 HGNC:6415 HGNC:6416 HGNC:6421 HGNC:6423 HGNC:6427 HGNC:6441 HGNC:6442 HGNC:6443 HGNC:6444 HGNC:20406 HGNC:6472 HGNC:6568 HGNC:34447 HGNC:17171 HGNC:13348 HGNC:24880 HGNC:14366 HGNC:7405 HGNC:7881 HGNC:33843 HGNC:18008 HGNC:8906 HGNC:8934 HGNC:9023 HGNC:9025 HGNC:9051 HGNC:9087 HGNC:33853 HGNC:18838 HGNC:9690 HGNC:9706 HGNC:9776 HGNC:9866 HGNC:10487 HGNC:18901 HGNC:20441 HGNC:10492 HGNC:10498 HGNC:10658 HGNC:3311 HGNC:8944 HGNC:8584 HGNC:8949 HGNC:10773 HGNC:15568 HGNC:11196 HGNC:15464 HGNC:11259 HGNC:11260 HGNC:11784 HGNC:11820 HGNC:28472 HGNC:24352 HGNC:15979 HGNC:16278 HGNC:20776 HGNC:13829 HGNC:17521 HGNC:13200"
"human","Lung","Basophil","BSP1 CD195","ENSG00000160791","HGNC:1606"
"human","Lung","Brush cell (Tuft cell)","ACADSB ACSL4 ADA ADAM10 AEN AFAP1 AHCY ALPL ANXA1 ANXA4 ASCL1 ASCL2 ATP11C AZGP1 CCNJ COLCA2 CPE CRYM DIP2B EPB41L4A-AS1 FAM117B FBRSL1 FGF1 FMNL2 FOXK2 FRAT2 GRAMD1A GYS2 HDAC2 HES6 HOMER3 HOTAIRM1 HOXA1 HSPD1 ID2 IL1B IL23A INPP5B KCNN3 KDM6B KYNU LFNG LOC101927318 LOC644961 LRMP MAFF MIAT MLLT11 MYC NAV1 NDC1 NFATC3 NIFK NIP7 NKX3-1 NONO NOS2 NREP ODC1 PDXP POU2F3 PPP1R14B PRDM1 RAD51L3-RFFL RAPGEF5 RASSF6 RCOR1 RFFL RNF183 RTCB SH3BP4 SKAP2 SLC16A1 SNHG1 SORL1 SOX4 SPTSSB TMEM185B TOMM20 TSN TUBB2B TUBB3 XPO5 YBX1","ENSG00000196177 ENSG00000068366 ENSG00000196839 ENSG00000137845 ENSG00000181026 ENSG00000196526 ENSG00000101444 ENSG00000162551 ENSG00000135046 ENSG00000196975 ENSG00000139352 ENSG00000183734 ENSG00000101974 ENSG00000160862 ENSG00000107443 ENSG00000214290 ENSG00000109472 ENSG00000103316 ENSG00000066084 ENSG00000224032 ENSG00000138439 ENSG00000112787 ENSG00000113578 ENSG00000157827 ENSG00000141568 ENSG00000181274 ENSG00000089351 ENSG00000111713 ENSG00000196591 ENSG00000144485 ENSG00000051128 ENSG00000233429 ENSG00000105991 ENSG00000144381 ENSG00000115738 ENSG00000125538 ENSG00000110944 ENSG00000204084 ENSG00000143603 ENSG00000132510 ENSG00000115919 ENSG00000106003 ENSG00000185022 ENSG00000225783 ENSG00000213190 ENSG00000136997 ENSG00000134369 ENSG00000058804 ENSG00000072736 ENSG00000155438 ENSG00000132603 ENSG00000167034 ENSG00000147140 ENSG00000007171 ENSG00000134986 ENSG00000115758 ENSG00000241360 ENSG00000137709 ENSG00000173457 ENSG00000057657 ENSG00000136237 ENSG00000169435 ENSG00000089902 ENSG00000092871 ENSG00000165188 ENSG00000100220 ENSG00000130147 ENSG00000005020 ENSG00000281917 ENSG00000155380 ENSG00000255717 ENSG00000137642 ENSG00000124766 ENSG00000196542 ENSG00000226479 ENSG00000173726 ENSG00000211460 ENSG00000137285 ENSG00000258947 ENSG00000124571 ENSG00000065978","HGNC:91 HGNC:3571 HGNC:186 HGNC:188 HGNC:25722 HGNC:24017 HGNC:343 HGNC:438 HGNC:533 HGNC:542 HGNC:738 HGNC:739 HGNC:13554 HGNC:910 HGNC:23434 HGNC:26978 HGNC:2303 HGNC:2418 HGNC:29284 HGNC:30749 HGNC:14440 HGNC:29308 HGNC:3665 HGNC:18267 HGNC:6036 HGNC:16048 HGNC:29305 HGNC:4707 HGNC:4853 HGNC:18254 HGNC:17514 HGNC:37117 HGNC:5099 HGNC:5261 HGNC:5361 HGNC:5992 HGNC:15488 HGNC:6077 HGNC:6292 HGNC:29012 HGNC:6469 HGNC:6560 HGNC:6780 HGNC:33425 HGNC:16997 HGNC:7553 HGNC:15989 HGNC:25525 HGNC:7777 HGNC:17838 HGNC:24328 HGNC:7838 HGNC:7871 HGNC:7873 HGNC:16834 HGNC:8109 HGNC:30259 HGNC:19864 HGNC:9057 HGNC:9346 HGNC:16862 HGNC:20796 HGNC:17441 HGNC:24821 HGNC:28721 HGNC:26935 HGNC:10826 HGNC:15687 HGNC:10922 HGNC:32688 HGNC:11185 HGNC:11200 HGNC:24045 HGNC:18896 HGNC:20947 HGNC:12379 HGNC:30829 HGNC:20772 HGNC:17675 HGNC:8014"
"human","Lung","Cancer cell","CK19","",""
"human","Lung","Cancer stem cell","CD133 ALDH1 CD166 CD44 CD90 MET EpCAM CD24 ABCG2 ABCB1 ALDH1A1 CD44v GLI1 Nestin Podoplanin NANOG OCT4 SOX2 CD117 c-Myc KLF4 ALDH-1 variant6 Musashi-1 ABCG5 ESA ALDHA1 BMI1 Beta-catenin ALDH OCT4A P63","ENSG00000007062 ENSG00000170017 ENSG00000026508 ENSG00000154096 ENSG00000105976 ENSG00000272398 ENSG00000118777 ENSG00000085563 ENSG00000165092 ENSG00000111087 ENSG00000111704 ENSG00000181449 ENSG00000157404 ENSG00000136826 ENSG00000138075 ENSG00000119888 ENSG00000168283","HGNC:9454 HGNC:400 HGNC:1681 HGNC:11801 HGNC:7029 HGNC:1645 HGNC:74 HGNC:40 HGNC:402 HGNC:4317 HGNC:20857 HGNC:11195 HGNC:6342 HGNC:6348 HGNC:13886 HGNC:11529 HGNC:1066"
"human","Lung","CD8+ T cell","CD103","ENSG00000083457","HGNC:6147"
"human","Lung","Ciliated cell","ACAD11 AGBL5 AGR3 AHSA1 AK1 AKAP14 ALDH3A1 ALDH3B1 ALDH9A1 AMZ2 ANG ANKRD37 ANKRD65 ANKRD66 AP3M2 APOBEC4 APOO ARHGAP39 ARL3 ARMC4 ATF3 ATPIF1 AZIN1 B3GNT7 B9D1 B9D2 BASP1 BBS9 BSCL2 BTBD3 C10orf107 C11orf49 C11orf52 C11orf88 C11orf97 C12orf75 C14orf142 C15orf26 C16orf71 C17orf97 C1orf189 C1orf192 C1orf194 C20orf26 C20orf85 C21orf59 C2orf40 C2orf81 C4orf3 C5orf15 C5orf49 C9orf116 C9orf135 C9orf171 C9orf24 C9orf9 CALM1 CALML4 CAPS CAPSL CARS CASC1 CAST CBY1 CCDC103 CCDC104 CCDC11 CCDC170 CCDC176 CCDC181 CCDC33 CCDC42B CCDC60 CCDC65 CCDC74B CCDC81 CCL15 CD59 CETN2 CIB1 CKB CRIP1 CST6 CTBS CTF1 CTGF CTSS CTXN1 CWH43 CYB561A3 CYGB CYP4B1 CYSTM1 DALRD3 DAW1 DMKN DNAAF3 DNAJB2 DNAL4 DNPH1 DPCD DRC1 DYNC2LI1 DYNLL1 DYNLRB2 DYNLT1 EBNA1BP2 EEF2K EFCAB10 EFHC2 ENDOG ENKUR ENPP5 ERF ERICH2 ERICH5 EZR FAM104B FAM154B FAM166B FAM174A FAM183A FAM216B FAM229B FAM81B FAM92B FBXO15 FBXW9 FOCAD FUZ FXYD3 GALC GJA9-MYCBP GPR162 GPX4 GRAMD2 H2AFJ HBB HEATR2 HIPK1 HIST1H1C HIST1H2BD HIST2H2AA3 HIST2H2AA4 HMGN3 HN1L HNRNPUL2-BSCL2 HRASLS2 HS3ST6 HSP90AA1 HSPB2-C11orf52 HSPBP1 IFI27 IFT22 IFT43 IFT46 IFT52 IFT57 IGFBP7 IK INO80B IQCE IQCG IQCH IQCK ISCA2 JOSD2 KCNE1 KCNRG KIF19 KIF9 KLHDC9 KLHL13 LAP3 LINC00094 LOC158960 LOC388780 LOC644172 LOC645638 LOC728392 LRRC10B LRRC23 LRRC34 LRRC45 LRRC46 LRRC6 LRRC73 LRWD1 LXN LYPLA2 LYPLA2P2 MAPK8IP1 MAPRE3 MGMT MIA MLF1 MORN2 MORN5 MSRB1 MTSS1L MYCBP NAT14 NHLRC4 NME5 NME7 NPHP3-ACAD11 NQO1 NSMCE1 ODF3B ORMDL2 PACRG PAIP2 PIFO PIH1D2 PIH1D3 PITPNM1 PLA2G16 PLAC8 PLEKHB1 PNMA1 POLR2I PPIL6 PPP1R14C PPP1R7 PRDX1 PRDX5 PRKAR1A PRPS1 PSCA PSENEN PSMB10 PTPLAD2 RBKS RHPN2 RIIAD1 RITA1 ROPN1L RPA3 RRAD RRAGA RSPH1 RSPH4A RTDR1 RTP4 RUVBL1 RUVBL2 SAA2 SAA2-SAA4 SAA3P SAA4 SCGB2A1 SDHC SLAIN2 SMIM22 SMYD2 SNTN SOD1 SPA17 SPAG16 SPAG6 SPC25 SRI SSB STMND1 STOML3 STX2 STYXL1 TCTEX1D2 TCTEX1D4 TCTN1 TEKT1 TM4SF19-TCTEX1D2 TM9SF1 TMEM107 TMEM190 TMEM231 TMEM254 TOMM34 TP53TG1 TPPP TPPP3 TRIM32 TSPAN1 TSPAN19 TSTD1 TTC25 TUBA1A TUBA4B TUBB4B UCP2 UFC1 UGDH ULK4 UNC119B VIM VRK3 VWA3B VWA5A WBSCR27 WDR16 WDR38 WDR54 WDR66 WDR78 WDR86-AS1 WRB ZBED5-AS1 ZDHHC1 ZMYND12 ZNF688 ZNHIT2","ENSG00000240303 ENSG00000084693 ENSG00000173467 ENSG00000100591 ENSG00000106992 ENSG00000186471 ENSG00000108602 ENSG00000006534 ENSG00000143149 ENSG00000196704 ENSG00000214274 ENSG00000186352 ENSG00000235098 ENSG00000230062 ENSG00000070718 ENSG00000173627 ENSG00000184831 ENSG00000147799 ENSG00000138175 ENSG00000162772 ENSG00000155096 ENSG00000156966 ENSG00000108641 ENSG00000123810 ENSG00000176788 ENSG00000122507 ENSG00000168000 ENSG00000132640 ENSG00000149300 ENSG00000257057 ENSG00000235162 ENSG00000283985 ENSG00000187624 ENSG00000124237 ENSG00000284308 ENSG00000164096 ENSG00000113583 ENSG00000215217 ENSG00000164972 ENSG00000198668 ENSG00000129007 ENSG00000105519 ENSG00000152611 ENSG00000153113 ENSG00000100211 ENSG00000167131 ENSG00000120262 ENSG00000117477 ENSG00000288407 ENSG00000140481 ENSG00000183273 ENSG00000139537 ENSG00000152076 ENSG00000149201 ENSG00000275528 ENSG00000275718 ENSG00000085063 ENSG00000147400 ENSG00000185043 ENSG00000166165 ENSG00000213145 ENSG00000175315 ENSG00000117151 ENSG00000150281 ENSG00000163131 ENSG00000178531 ENSG00000109182 ENSG00000162144 ENSG00000161544 ENSG00000142973 ENSG00000120306 ENSG00000178149 ENSG00000123977 ENSG00000161249 ENSG00000167646 ENSG00000135924 ENSG00000100246 ENSG00000112667 ENSG00000166171 ENSG00000157856 ENSG00000138036 ENSG00000088986 ENSG00000168589 ENSG00000146425 ENSG00000117395 ENSG00000284161 ENSG00000103319 ENSG00000185055 ENSG00000183690 ENSG00000167136 ENSG00000151023 ENSG00000112796 ENSG00000105722 ENSG00000204334 ENSG00000177459 ENSG00000092820 ENSG00000182518 ENSG00000215187 ENSG00000174132 ENSG00000186973 ENSG00000179813 ENSG00000203778 ENSG00000153347 ENSG00000141665 ENSG00000132004 ENSG00000188352 ENSG00000010361 ENSG00000089356 ENSG00000054983 ENSG00000250510 ENSG00000167468 ENSG00000244734 ENSG00000163349 ENSG00000118418 ENSG00000234857 ENSG00000276333 ENSG00000162040 ENSG00000080824 ENSG00000254445 ENSG00000133265 ENSG00000275214 ENSG00000165949 ENSG00000128581 ENSG00000119650 ENSG00000118096 ENSG00000101052 ENSG00000114446 ENSG00000163453 ENSG00000113141 ENSG00000115274 ENSG00000106012 ENSG00000114473 ENSG00000103599 ENSG00000174628 ENSG00000165898 ENSG00000161677 ENSG00000180509 ENSG00000198553 ENSG00000196169 ENSG00000088727 ENSG00000162755 ENSG00000003096 ENSG00000002549 ENSG00000204950 ENSG00000010626 ENSG00000171757 ENSG00000169683 ENSG00000141294 ENSG00000204052 ENSG00000161036 ENSG00000079257 ENSG00000011009 ENSG00000269153 ENSG00000121653 ENSG00000084764 ENSG00000170430 ENSG00000261857 ENSG00000178053 ENSG00000188010 ENSG00000185681 ENSG00000198736 ENSG00000214114 ENSG00000090971 ENSG00000257108 ENSG00000112981 ENSG00000143156 ENSG00000274810 ENSG00000181019 ENSG00000169189 ENSG00000177989 ENSG00000123353 ENSG00000112530 ENSG00000120727 ENSG00000173947 ENSG00000150773 ENSG00000110697 ENSG00000145287 ENSG00000021300 ENSG00000176903 ENSG00000105258 ENSG00000185250 ENSG00000198729 ENSG00000115685 ENSG00000117450 ENSG00000126432 ENSG00000108946 ENSG00000147224 ENSG00000167653 ENSG00000205155 ENSG00000205220 ENSG00000171174 ENSG00000131941 ENSG00000178796 ENSG00000139405 ENSG00000145491 ENSG00000106399 ENSG00000166592 ENSG00000155876 ENSG00000160188 ENSG00000111834 ENSG00000136514 ENSG00000284901 ENSG00000175792 ENSG00000183207 ENSG00000134339 ENSG00000255071 ENSG00000166787 ENSG00000290741 ENSG00000148965 ENSG00000124939 ENSG00000143252 ENSG00000109171 ENSG00000267795 ENSG00000143499 ENSG00000188817 ENSG00000142168 ENSG00000064199 ENSG00000144451 ENSG00000077327 ENSG00000277909 ENSG00000152253 ENSG00000075142 ENSG00000138385 ENSG00000230873 ENSG00000133115 ENSG00000111450 ENSG00000127952 ENSG00000204852 ENSG00000167858 ENSG00000285465 ENSG00000100926 ENSG00000179029 ENSG00000160472 ENSG00000205084 ENSG00000133678 ENSG00000025772 ENSG00000182165 ENSG00000171368 ENSG00000159713 ENSG00000119401 ENSG00000117472 ENSG00000231738 ENSG00000215845 ENSG00000167552 ENSG00000243910 ENSG00000188229 ENSG00000175567 ENSG00000143222 ENSG00000109814 ENSG00000168038 ENSG00000175970 ENSG00000026025 ENSG00000105053 ENSG00000168658 ENSG00000110002 ENSG00000136918 ENSG00000005448 ENSG00000243836 ENSG00000247271 ENSG00000159714 ENSG00000066185 ENSG00000229809 ENSG00000174276","HGNC:30211 HGNC:26147 HGNC:24167 HGNC:1189 HGNC:361 HGNC:24061 HGNC:405 HGNC:410 HGNC:412 HGNC:28041 HGNC:483 HGNC:29593 HGNC:42950 HGNC:44669 HGNC:570 HGNC:32152 HGNC:28727 HGNC:29351 HGNC:694 HGNC:785 HGNC:16432 HGNC:18811 HGNC:24123 HGNC:28636 HGNC:957 HGNC:30000 HGNC:15832 HGNC:15854 HGNC:30531 HGNC:49544 HGNC:35164 HGNC:33800 HGNC:16216 HGNC:34350 HGNC:19225 HGNC:20656 HGNC:27028 HGNC:19919 HGNC:1442 HGNC:18445 HGNC:1487 HGNC:28375 HGNC:1515 HGNC:1307 HGNC:32700 HGNC:21177 HGNC:28051 HGNC:26552 HGNC:28610 HGNC:29937 HGNC:25267 HGNC:26281 HGNC:10613 HGNC:1689 HGNC:1867 HGNC:16920 HGNC:1991 HGNC:2360 HGNC:2478 HGNC:2496 HGNC:2499 HGNC:2545 HGNC:31108 HGNC:26133 HGNC:23014 HGNC:16505 HGNC:2644 HGNC:30239 HGNC:25536 HGNC:26383 HGNC:25063 HGNC:30492 HGNC:5228 HGNC:2955 HGNC:21218 HGNC:24542 HGNC:24245 HGNC:24595 HGNC:15476 HGNC:15467 HGNC:11697 HGNC:15531 HGNC:24615 HGNC:34531 HGNC:26233 HGNC:3346 HGNC:28388 HGNC:13717 HGNC:3444 HGNC:44395 HGNC:26823 HGNC:12691 HGNC:25085 HGNC:34242 HGNC:24943 HGNC:34347 HGNC:26883 HGNC:33858 HGNC:26335 HGNC:13617 HGNC:28136 HGNC:23377 HGNC:26219 HGNC:4027 HGNC:4115 HGNC:16693 HGNC:4556 HGNC:4827 HGNC:19006 HGNC:12312 HGNC:49189 HGNC:14178 HGNC:5253 HGNC:41996 HGNC:24989 HGNC:5397 HGNC:21895 HGNC:29669 HGNC:26146 HGNC:15901 HGNC:17367 HGNC:5476 HGNC:5958 HGNC:13324 HGNC:29171 HGNC:25251 HGNC:25721 HGNC:28556 HGNC:19857 HGNC:28853 HGNC:6240 HGNC:18893 HGNC:26735 HGNC:16666 HGNC:28489 HGNC:22931 HGNC:18449 HGNC:37215 HGNC:19138 HGNC:28408 HGNC:28302 HGNC:25047 HGNC:21375 HGNC:21769 HGNC:13347 HGNC:6738 HGNC:50445 HGNC:6882 HGNC:6892 HGNC:7059 HGNC:7076 HGNC:7125 HGNC:30166 HGNC:17841 HGNC:14133 HGNC:7554 HGNC:28918 HGNC:26700 HGNC:7853 HGNC:20461 HGNC:48351 HGNC:2874 HGNC:29897 HGNC:34388 HGNC:16037 HGNC:19152 HGNC:17970 HGNC:27009 HGNC:25210 HGNC:9003 HGNC:19254 HGNC:19079 HGNC:9158 HGNC:9196 HGNC:21557 HGNC:14952 HGNC:9295 HGNC:9352 HGNC:9355 HGNC:9388 HGNC:9462 HGNC:9500 HGNC:30100 HGNC:9538 HGNC:30325 HGNC:19974 HGNC:26686 HGNC:25925 HGNC:24060 HGNC:10291 HGNC:10446 HGNC:16963 HGNC:12371 HGNC:21558 HGNC:23992 HGNC:10474 HGNC:10475 HGNC:10514 HGNC:39550 HGNC:10515  HGNC:10516 HGNC:7051 HGNC:10682 HGNC:29282 HGNC:48329 HGNC:20982 HGNC:33706 HGNC:11179 HGNC:11210 HGNC:23225 HGNC:11215 HGNC:24031 HGNC:11292 HGNC:11316 HGNC:44668 HGNC:19420 HGNC:3403 HGNC:18165 HGNC:26113 HGNC:15534 HGNC:11864 HGNC:28128 HGNC:29632 HGNC:37234 HGNC:25804 HGNC:15746 HGNC:17026 HGNC:24164 HGNC:24162 HGNC:16380 HGNC:20657 HGNC:31886 HGNC:35410 HGNC:20766 HGNC:18637 HGNC:20771 HGNC:12518 HGNC:26941 HGNC:12525 HGNC:15784 HGNC:16488 HGNC:12692 HGNC:18996 HGNC:28385 HGNC:6658 HGNC:23745 HGNC:25770 HGNC:41186 HGNC:48646 HGNC:17916 HGNC:21192 HGNC:30489 HGNC:1177"
"human","Lung","Clara cell","CC10 Uteroglobin","",""
"human","Lung","Dendritic cell","CD141 CD1c CD303 CCR6 PCD1 PCX3CR1 PFLT3 CD11c CD209 CD83 CD1a MHC Class II","ENSG00000178726 ENSG00000198178 ENSG00000112486 ENSG00000140678 ENSG00000090659 ENSG00000112149","HGNC:11784 HGNC:13258 HGNC:1607 HGNC:6152 HGNC:1641 HGNC:1703"
"human","Lung","Endothelial cell","CD31 CD144 CD146 VWF LYVE-1 CD34 Endocan FLT1 KDR von Willebrand factor PECAM1 Endomucin","ENSG00000261371 ENSG00000179776 ENSG00000076706 ENSG00000110799 ENSG00000174059 ENSG00000102755 ENSG00000128052","HGNC:8823 HGNC:1764 HGNC:6934 HGNC:12726 HGNC:1662 HGNC:3763 HGNC:6307"
"human","Lung","Eosinophil","ECP","",""
"human","Lung","Epithelial cell","CD103 CD106 CD126 CD13 CD130 CD141 CD1d CD24 CD324 iNOS","ENSG00000083457 ENSG00000162692 ENSG00000160712 ENSG00000166825 ENSG00000134352 ENSG00000178726 ENSG00000272398 ENSG00000039068","HGNC:6147 HGNC:12663 HGNC:6019 HGNC:500 HGNC:6021 HGNC:11784 HGNC:1645 HGNC:1748"
"human","Lung","Epithelial progenitor cell","CEACAM6","ENSG00000086548","HGNC:1818"
"human","Lung","Fibroblast","alpha-SMA CD36 CD97 Desmin FAP-1 PDGFR-alpha PDGFR-beta Vimentin CD90","ENSG00000135218 ENSG00000123146 ENSG00000154096","HGNC:1663 HGNC:1711 HGNC:11801"
